,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,se_ep
39,124982652615929856,124982652615929856,1318633161000.0,2011-10-14 22:59:21,+0000,,"#TheOffice Hahaaaa RT @elliot33: #oomf just texted me ""damn, stop coming at my throat so hard"", literally that's ...  http://t.co/xZNTaDBH",en,"['theoffice', 'oomf']",[],202278305,202278305,Stvn000,Steven,5,22,https://twitter.com/Stvn000/status/124982652615929856,['http://m.tmi.me/h8RZ4'],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
40,124982467118632960,124982467118632960,1318633116000.0,2011-10-14 22:58:36,+0000,,ewww andy's family is full of douches #TheOffice,en,['theoffice'],[],76141707,76141707,mingfire,Carbi B,5,22,https://twitter.com/mingfire/status/124982467118632960,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
41,124982092449845248,124982092449845248,1318633027000.0,2011-10-14 22:57:07,+0000,,THE LIST (rerun) is airing tonight on NBC. Check out the upcoming episodes list here:   http://t.co/6Nop7pU7 #TheOffice,en,['theoffice'],[],14537579,14537579,Netteslayouts,Netteslayouts.com,5,22,https://twitter.com/Netteslayouts/status/124982092449845248,['http://tinyurl.com/64eh473'],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
42,124982091153813504,124982091153813504,1318633027000.0,2011-10-14 22:57:07,+0000,,#TheOffice Time :),en,['theoffice'],[],184862414,184862414,Espectador30,Espectador30,5,22,https://twitter.com/Espectador30/status/124982091153813504,[],[],0,,False,1,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
43,124982076607959040,124982076607959040,1318633023000.0,2011-10-14 22:57:03,+0000,,lmfao mose #TheOffice,en,['theoffice'],[],76141707,76141707,mingfire,Carbi B,5,22,https://twitter.com/mingfire/status/124982076607959040,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
44,124981865470889984,124981865470889984,1318632973000.0,2011-10-14 22:56:13,+0000,,ewww name a child after u favorite cat #TheOffice,en,['theoffice'],[],76141707,76141707,mingfire,Carbi B,5,22,https://twitter.com/mingfire/status/124981865470889984,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
45,124981671224283136,124981671224283136,1318632927000.0,2011-10-14 22:55:27,+0000,,"Review & Podcast: ""Russell Wiley is Out to Lunch is True-to-Work-Life, A Bit Snarky and a Lot of Fun""  http://t.co/lX8K1qWu #humor #theoffice",en,"['humor', 'theoffice']",[],221159726,221159726,newspapernovel,"Russell Wiley Is Out to Lunch, a novel",5,22,https://twitter.com/newspapernovel/status/124981671224283136,['http://www.unrulybooks.com/2011/01/russell-wiley-is-out-to-lunch-satire/'],[],0,,False,0,0,1,,#TheOffice,,,,,,,[],,,,,s8ep4
46,124981312913293312,124981312913293312,1318632841000.0,2011-10-14 22:54:01,+0000,,ooh garden party  lol Connecticut casual #TheOffice,en,['theoffice'],[],76141707,76141707,mingfire,Carbi B,5,22,https://twitter.com/mingfire/status/124981312913293312,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
47,124981196475207680,124981196475207680,1318632813000.0,2011-10-14 22:53:33,+0000,,”K.I.S.S - Keep It Simple Stupid” #theoffice,en,['theoffice'],[],29053844,29053844,fiesty404,♋ℬℒℰ𝒮𝒮ℰ𝒟♋,5,22,https://twitter.com/fiesty404/status/124981196475207680,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
48,124980868136706048,124980868136706048,1318632735000.0,2011-10-14 22:52:15,+0000,,LMFAO THAT BILLBOARD KILLED ME!!!!!!!! #TheOffice,en,['theoffice'],[],76141707,76141707,mingfire,Carbi B,5,22,https://twitter.com/mingfire/status/124980868136706048,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
49,124980110473445376,124980110473445376,1318632555000.0,2011-10-14 22:49:15,+0000,,I just love jim's ways of messing with dwight #theoffice,en,['theoffice'],[],70095217,70095217,Daniela_Rabbits,Daniela Pietrosanu 🖤 BLM 🖤,5,22,https://twitter.com/Daniela_Rabbits/status/124980110473445376,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
50,124979939912056833,124979939912056833,1318632514000.0,2011-10-14 22:48:34,+0000,,Currently watching my VERY FIRST episode of #TheOffice. Not bad actually!,en,['theoffice'],[],24793007,24793007,itssskelsey,ᴮᴱ Kelsey Ann ⁷,5,22,https://twitter.com/itssskelsey/status/124979939912056833,[],[],0,,False,0,1,0,,#TheOffice,,,,,,,[],,,,,s8ep4
53,124979084311793665,124979084311793665,1318632310000.0,2011-10-14 22:45:10,+0000,,Watching old episodes of The Office US. Already up to season 6. #theoffice,en,['theoffice'],[],391009367,391009367,Saxonsbane,Saxo,5,22,https://twitter.com/Saxonsbane/status/124979084311793665,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
54,124978717347946496,124978717347946496,1318632222000.0,2011-10-14 22:43:42,+0000,,Someone punch Angela in the face. #theoffice,en,['theoffice'],[],22198130,22198130,AllyNightengale,Allyson Nightengale,5,22,https://twitter.com/AllyNightengale/status/124978717347946496,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
55,124978036205551616,124978036205551616,1318632060000.0,2011-10-14 22:41:00,+0000,,Hope grows...in a dump. #theoffice,en,['theoffice'],[],374175481,374175481,thewolfman1332,Mason Gustafson,5,22,https://twitter.com/thewolfman1332/status/124978036205551616,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
57,124977151370997760,124977151370997760,1318631849000.0,2011-10-14 22:37:29,+0000,,"""Let's just agree to disagree"" ""No, you're wrong"" #TheOffice",en,['theoffice'],[],388501299,388501299,kayleehill951,Kaylee Hill,5,22,https://twitter.com/kayleehill951/status/124977151370997760,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
58,124977147092795392,124977147092795392,1318631848000.0,2011-10-14 22:37:28,+0000,,#TheOffice is probably the most retarded...funniest show I've seen in a while.,en,['theoffice'],[],49836930,49836930,jayxhernandez,Jackson,5,22,https://twitter.com/jayxhernandez/status/124977147092795392,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
59,124976873972301825,124976873972301825,1318631783000.0,2011-10-14 22:36:23,+0000,,Assistir #TheOffice antes da Love & Sound! :),en,['theoffice'],[],23631309,23631309,FelipeDiniz,dnz 🔴⃤,5,22,https://twitter.com/FelipeDiniz/status/124976873972301825,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
60,124976108499251201,124976108499251201,1318631600000.0,2011-10-14 22:33:20,+0000,,#TheOffice was good last night. lol. Dwight is a lunatic. lol.,en,['theoffice'],[],21273083,21273083,DefinedByHisLuv,𝚀𝚞𝚒𝚊𝚗𝚊,5,22,https://twitter.com/DefinedByHisLuv/status/124976108499251201,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
61,124975803300708353,124975803300708353,1318631528000.0,2011-10-14 22:32:08,+0000,,i love friday afternoon's with nothing to do except catch up on #theoffice .,en,['theoffice'],[],131547362,131547362,leahshad,leah shadbolt,5,22,https://twitter.com/leahshad/status/124975803300708353,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
62,124975713139949568,124975713139949568,1318631506000.0,2011-10-14 22:31:46,+0000,,Dwight Schrute = IDOL #TheOffice,en,['theoffice'],[],91609912,91609912,MariaXixo,Maria AngMar,5,22,https://twitter.com/MariaXixo/status/124975713139949568,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
63,124974033132466176,124974033132466176,1318631106000.0,2011-10-14 22:25:06,+0000,,Watching #theoffice,en,['theoffice'],[],37315075,37315075,sasksonderer,ZLM,5,22,https://twitter.com/sasksonderer/status/124974033132466176,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
64,124973571159228416,124973571159228416,1318630995000.0,2011-10-14 22:23:15,+0000,,"Gretchen, I need another marmalade! #theoffice",en,['theoffice'],[],213566753,213566753,jaredtbuck,Jared Buck,5,22,https://twitter.com/jaredtbuck/status/124973571159228416,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
65,124973236139204610,124973236139204610,1318630916000.0,2011-10-14 22:21:56,+0000,,@joshgroban plays Ed Helms’ bro on #TheOffice. He tells us he’d love it if his character develops into something more:  http://t.co/JsW0v72j,en,['theoffice'],[],26020465,26020465,ETCanada,ET Canada,5,22,https://twitter.com/ETCanada/status/124973236139204610,['http://www.globaltv.com/theoffice/video/index.html#theoffice/video/full+episodes'],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
66,124972155061551104,124972155061551104,1318630658000.0,2011-10-14 22:17:38,+0000,,"So many interviews 2day! Josh Groban about #TheOffice, Cast members from Happy Endings, & #BodyofProof's Windell Middlebrooks! Stay tuned!",en,"['theoffice', 'bodyofproof']",[],15536644,15536644,FanFestWorld,Fan Fest World,5,22,https://twitter.com/FanFestWorld/status/124972155061551104,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
67,124971992456769536,124971992456769536,1318630619000.0,2011-10-14 22:16:59,+0000,,"""well well well how the turn tables"" #theoffice #theofficequotes",en,"['theoffice', 'theofficequotes']",[],76453820,76453820,TheRajSharma,Raj Sharma,5,22,https://twitter.com/TheRajSharma/status/124971992456769536,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
69,124970805670068224,124970805670068224,1318630336000.0,2011-10-14 22:12:16,+0000,,"""I'm the valet. You have to give me your car."" #TheOffice",en,['theoffice'],[],41551482,41551482,michael_mcclain,Michael McClain,5,22,https://twitter.com/michael_mcclain/status/124970805670068224,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
71,124969387030622208,124969387030622208,1318629998000.0,2011-10-14 22:06:38,+0000,,I missed #TheOffice last night because I went to bed at like 5:30 pm. Time to recap. :),en,['theoffice'],[],21273083,21273083,DefinedByHisLuv,𝚀𝚞𝚒𝚊𝚗𝚊,5,22,https://twitter.com/DefinedByHisLuv/status/124969387030622208,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
72,124969058243321857,124969058243321857,1318629919000.0,2011-10-14 22:05:19,+0000,,Watching #theOffice :D,en,['theoffice'],[],298737572,298737572,laken_britt,laken britt,5,22,https://twitter.com/laken_britt/status/124969058243321857,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
73,124969030015660033,124969030015660033,1318629913000.0,2011-10-14 22:05:13,+0000,,i love Josh Groban #TheOffice,en,['theoffice'],[],44836014,44836014,RachelSings08,RachelReadsandSings 📚,5,22,https://twitter.com/RachelSings08/status/124969030015660033,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
74,124968359094792192,124968359094792192,1318629753000.0,2011-10-14 22:02:33,+0000,,loool this guy drinks milk and sugar every mornin #TheOffice,en,['theoffice'],[],242553327,242553327,jussonpoint,Truth hurt lies heal,5,22,https://twitter.com/jussonpoint/status/124968359094792192,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
75,124968244665790465,124968244665790465,1318629725000.0,2011-10-14 22:02:05,+0000,,Andy Bernard is just Michael Scott repackaged. #theoffice,en,['theoffice'],[],320929425,320929425,marshalleo,Marshall Feit,5,22,https://twitter.com/marshalleo/status/124968244665790465,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
77,124967530367422464,124967530367422464,1318629555000.0,2011-10-14 21:59:15,+0000,,"AMAZING episode of #theoffice! props to @rainnwilson, this is one of my favorite Dwight episodes yet!",en,['theoffice'],[],255651916,255651916,EmoHermione,RIP Lyles,5,21,https://twitter.com/EmoHermione/status/124967530367422464,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
78,124966796578136064,124966796578136064,1318629380000.0,2011-10-14 21:56:20,+0000,,I'm kinda wondering why Jim didn't want to be manager on #theoffice?,en,['theoffice'],[],311778657,311778657,queen_t21,Queen Tiff,5,21,https://twitter.com/queen_t21/status/124966796578136064,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
79,124966615300321280,124966615300321280,1318629337000.0,2011-10-14 21:55:37,+0000,,RT @emily_fri Schrute farm garden parties...the height of awkwardness. #TheOffice // Truth. And poor Andy lol.,en,['theoffice'],[],16573026,16573026,TovahAtha,Tovah Atha,5,21,https://twitter.com/TovahAtha/status/124966615300321280,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
80,124966367194644480,124966367194644480,1318629278000.0,2011-10-14 21:54:38,+0000,,"Scrantonicity ~ “Garden Party”: Anytime an Office episode is primarily set outdoors, I feel an overbe...  http://t.co/cBrVqVcP #theoffice",en,['theoffice'],[],308557964,308557964,BodyBiltCustom,BodyBilt Chairs,5,21,https://twitter.com/BodyBiltCustom/status/124966367194644480,['http://bit.ly/nxXDnR'],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
81,124965918462849025,124965918462849025,1318629171000.0,2011-10-14 21:52:51,+0000,,Last nights #TheOffice and #BigBangTheory then bed I think!,en,"['theoffice', 'bigbangtheory']",[],389655856,389655856,dannyross92,Danny Ross,5,21,https://twitter.com/dannyross92/status/124965918462849025,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
82,124965525456560128,124965525456560128,1318629077000.0,2011-10-14 21:51:17,+0000,,Watchin #TheOffice on hulu plus time to catch up with my shows for a min,en,['theoffice'],[],68366672,68366672,L3SEdward,Edward Espinal,5,21,https://twitter.com/L3SEdward/status/124965525456560128,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
83,124964865608650752,124964865608650752,1318628920000.0,2011-10-14 21:48:40,+0000,,@joshgroban brilliant job on #theoffice last night! =D,en,['theoffice'],[],24411322,24411322,imperfect_words,Jenna 💙⚾️ kike hernández stan acct,5,21,https://twitter.com/imperfect_words/status/124964865608650752,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
84,124964755835326464,124964755835326464,1318628894000.0,2011-10-14 21:48:14,+0000,,"Could I have the chicken breast, hold the breast LOL #TheOffice",en,['theoffice'],[],137692493,137692493,talkSportscom,The Talk-Sports guy,5,21,https://twitter.com/talkSportscom/status/124964755835326464,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
85,124963849974710272,124963849974710272,1318628678000.0,2011-10-14 21:44:38,+0000,,Ha so true RT @OfficeTally: Robert: Know the difference between a crying baby and a manager? One day the baby will grow up. #TheOffice,en,['theoffice'],[],173435322,173435322,ProtoTyler,Philly D Luffy,5,21,https://twitter.com/ProtoTyler/status/124963849974710272,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
86,124963781712412672,124963781712412672,1318628661000.0,2011-10-14 21:44:21,+0000,,@joshgroban You were fantastic! #TheOffice,en,['theoffice'],[],290111045,290111045,XimeVictoriaRC,🌙,5,21,https://twitter.com/XimeVictoriaRC/status/124963781712412672,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
87,124963672148803584,124963672148803584,1318628635000.0,2011-10-14 21:43:55,+0000,,"Walter, jr calling Jim ""Tuna"" is just about the greatest thing ever!!! #theoffice",en,['theoffice'],[],24411322,24411322,imperfect_words,Jenna 💙⚾️ kike hernández stan acct,5,21,https://twitter.com/imperfect_words/status/124963672148803584,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
88,124963095733997568,124963095733997568,1318628498000.0,2011-10-14 21:41:38,+0000,,Re: People being spoiled by #TheOffice's explanation of Rosebud in #CitizenKane and @sepinwall's comment page is ridiculous. #oldmovieisold,en,"['theoffice', 'citizenkane', 'oldmovieisold']",[],103068548,103068548,chobtoons,Chobtoons,5,21,https://twitter.com/chobtoons/status/124963095733997568,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
89,124962893711151104,124962893711151104,1318628450000.0,2011-10-14 21:40:50,+0000,,Lolling so loud while watching the garden party episode of #TheOffice forgot how funny this show was,en,['theoffice'],[],24378088,24378088,AbbzSolo0oo,Abbz Solo,5,21,https://twitter.com/AbbzSolo0oo/status/124962893711151104,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
90,124962818733785089,124962818733785089,1318628432000.0,2011-10-14 21:40:32,+0000,,You know what the difference is between a crying baby and a maneger? The baby will grow up. #theoffice,en,['theoffice'],[],164358385,164358385,landonflux,Landon Flux,5,21,https://twitter.com/landonflux/status/124962818733785089,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
91,124962541020520448,124962541020520448,1318628366000.0,2011-10-14 21:39:26,+0000,,Omg josh groban #seriousactor #theoffice,en,"['seriousactor', 'theoffice']",[],150818107,150818107,jaskanhai,jason kanhai,5,21,https://twitter.com/jaskanhai/status/124962541020520448,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
92,124962411219390464,124962411219390464,1318628335000.0,2011-10-14 21:38:55,+0000,,"JAMES, PAMELA, AND PP HALPERT!!!!! #Theoffice",en,['theoffice'],[],130286171,130286171,Rick_in_a_Box,Ricky Abraham,5,21,https://twitter.com/Rick_in_a_Box/status/124962411219390464,[],[],0,,False,0,0,1,,#TheOffice,,,,,,,[],,,,,s8ep4
93,124962333431836673,124962104007589888,1318628316000.0,2011-10-14 21:38:36,+0000,,@jkvesco I know.  I thought #TheOffice was good also.,en,['theoffice'],[],17798107,17798107,mrvesco,Tim Vesco,5,21,https://twitter.com/mrvesco/status/124962333431836673,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
94,124962128766570496,124962128766570496,1318628267000.0,2011-10-14 21:37:47,+0000,,#theoffice is getting better finally!!,en,['theoffice'],[],21251378,21251378,akhiltwitting,Akhil Sharma,5,21,https://twitter.com/akhiltwitting/status/124962128766570496,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
95,124960915677384704,124960915677384704,1318627978000.0,2011-10-14 21:32:58,+0000,,That episode was awesome. I may have to watch it again! #theoffice,en,['theoffice'],[],27579653,27579653,mizzougirl88,Amber,5,21,https://twitter.com/mizzougirl88/status/124960915677384704,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
96,124960903534870529,124960903534870529,1318627975000.0,2011-10-14 21:32:55,+0000,,#ios5 is like having woof #theoffice rip off #stillamazing,en,"['ios5', 'theoffice', 'stillamazing']",[],211715304,211715304,flinginmonkey,Sean,5,21,https://twitter.com/flinginmonkey/status/124960903534870529,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
97,124960610227204096,124960610227204096,1318627905000.0,2011-10-14 21:31:45,+0000,,John Krasinski & @joshgroban in the same scene = mind blown #theoffice,en,['theoffice'],[],24411322,24411322,imperfect_words,Jenna 💙⚾️ kike hernández stan acct,5,21,https://twitter.com/imperfect_words/status/124960610227204096,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
98,124959602864431104,124959602864431104,1318627665000.0,2011-10-14 21:27:45,+0000,,"LOL ""Total Eclipse of the Fart"" -Michael Scott #theoffice",en,['theoffice'],[],22062251,22062251,Tammykins,Tam Nguyen,5,21,https://twitter.com/Tammykins/status/124959602864431104,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
99,124958172854231040,124958172854231040,1318627324000.0,2011-10-14 21:22:04,+0000,,I'm loving James Spader as Robert California. #theoffice,en,['theoffice'],[],35045520,35045520,TexAg09,Gabe Rodriguez,5,21,https://twitter.com/TexAg09/status/124958172854231040,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep4
0,130070737875775489,130070737875775489,1319846255000.0,2011-10-28 23:57:35,+0000,,Watching the Halloween episode of #TheOffice.  Dwight as #Kerrigan is a surprising laugh.,en,"['theoffice', 'kerrigan']",[],56182498,56182498,TalonJH,TalonJayH,5,23,https://twitter.com/TalonJH/status/130070737875775489,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep5
1,130070500700454912,130070500700454912,1319846198000.0,2011-10-28 23:56:38,+0000,,"#theoffice halloween episode killed. Spader is great. Sorry folks, it's still a hit!",en,['theoffice'],[],279712924,279712924,Mr40versions,Isaac Slater Sequel⌘,5,23,https://twitter.com/Mr40versions/status/130070500700454912,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep5
2,130068997860360192,130068997860360192,1319845840000.0,2011-10-28 23:50:40,+0000,,Robert California is gangsta lol #TheOffice,en,['theoffice'],[],146593725,146593725,OneUniqueRebel,The Narrator,5,23,https://twitter.com/OneUniqueRebel/status/130068997860360192,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep5
3,130068750962667520,130068750962667520,1319845781000.0,2011-10-28 23:49:41,+0000,,Dwight: You're just being selfish. [Phyllis slaps Dwight] And you slap like a girl.  #theoffice,en,['theoffice'],[],341060967,341060967,OfficeQuotes2,Office Quotes,5,23,https://twitter.com/OfficeQuotes2/status/130068750962667520,[],[],0,,False,0,0,3,,#TheOffice,,,,,,,[],,,,,s8ep5
5,130066862405976066,130066862405976066,1319845331000.0,2011-10-28 23:42:11,+0000,,Getting caught up on #TheOffice!!,en,['theoffice'],[],288712305,288712305,jasonedrich,Jason Richard,5,23,https://twitter.com/jasonedrich/status/130066862405976066,[],[],0,,False,0,1,0,,#TheOffice,,,,,,,[],,,,,s8ep5
6,130065064840540160,130065064840540160,1319844902000.0,2011-10-28 23:35:02,+0000,,Why is Andy being so mean to Erin? #theoffice,en,['theoffice'],[],130558180,130558180,Brett_Compton,Brett Compton,5,23,https://twitter.com/Brett_Compton/status/130065064840540160,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep5
9,130064453105483776,130060891516444673,1319844756000.0,2011-10-28 23:32:36,+0000,,"@Georginho1987 chasers? Hooch for a pound,wonderbras get in free #dontgetyourhamptoncourt #theoffice",en,"['dontgetyourhamptoncourt', 'theoffice']",[],380436260,380436260,JonnyButcher99,Jonny Butcher,5,23,https://twitter.com/JonnyButcher99/status/130064453105483776,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep5
10,130063626714353666,130063626714353666,1319844559000.0,2011-10-28 23:29:19,+0000,,Earth-You don't have to be crazy to live here. But it helps. #TheOffice,en,['theoffice'],[],188853483,188853483,alniho_,Al,5,23,https://twitter.com/alniho_/status/130063626714353666,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep5
11,130063204482158592,130063204482158592,1319844459000.0,2011-10-28 23:27:39,+0000,,"November's sure creepin' up, ain't it? Can't stop that month! #erin #theoffice",en,"['erin', 'theoffice']",[],24970946,24970946,fiveagon,Justin Foerster,5,23,https://twitter.com/fiveagon/status/130063204482158592,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep5
12,130063101642014720,130063101642014720,1319844434000.0,2011-10-28 23:27:14,+0000,,Wen da ppl on #theoffice looks at camera &gt;&gt;&gt;,en,['theoffice'],[],225998821,225998821,thenNELsaid_,Because....,5,23,https://twitter.com/thenNELsaid_/status/130063101642014720,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep5
13,130062721952657408,130062721952657408,1319844344000.0,2011-10-28 23:25:44,+0000,,Hahaha Dwight you never stop surprising #iloveyou #theoffice #legend   @ Home  http://t.co/NoHQyfie,en,"['iloveyou', 'theoffice', 'legend']",[],61855456,61855456,siljeaxelsen,Silje Axelsen,5,23,https://twitter.com/siljeaxelsen/status/130062721952657408,['http://instagr.am/p/RzeuN/'],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep5
14,130062061299449856,130062061299449856,1319844186000.0,2011-10-28 23:23:06,+0000,,@bobbleheadgary GARY!  #Chuck premiere tonight!  And how much fun was #theoffice Halloween?,en,"['chuck', 'theoffice']",[],164908357,164908357,Dork4TV,AnnieSaysRelax 🎀🐈,5,23,https://twitter.com/Dork4TV/status/130062061299449856,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep5
15,130061301836820480,130061301836820480,1319844005000.0,2011-10-28 23:20:05,+0000,,"Fear is an interesting part of our lives. May we never let it control us. Funny we take a day, dress like fear, celebrating it #theoffice",en,['theoffice'],[],24161771,24161771,TLKHoy,Tiffany Hoy,5,23,https://twitter.com/TLKHoy/status/130061301836820480,[],[],0,,False,0,0,1,,#TheOffice,,,,,,,[],,,,,s8ep5
16,130061123151077377,130061123151077377,1319843962000.0,2011-10-28 23:19:22,+0000,,I've been watching season 4 of #TheOffice since 4 o'clock thanks to @joshbryanmusic. It's been a good day.,en,['theoffice'],[],108625909,108625909,hantasmith,Hannah E. Smith,5,23,https://twitter.com/hantasmith/status/130061123151077377,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep5
17,130060037363208194,130060037363208194,1319843703000.0,2011-10-28 23:15:03,+0000,,"REMINDER: enter @RainnWilson's Halloween costume contest, winner gets #TheOffice signed DVD!  http://t.co/VT8aR8cn",en,['theoffice'],[],7723382,7723382,OfficeTally,OfficeTally,5,23,https://twitter.com/OfficeTally/status/130060037363208194,['http://ow.ly/7cwR0'],[],0,,False,5,2,6,,#TheOffice,,,,,,,[],,,,,s8ep5
18,130059178403311617,130059178403311617,1319843499000.0,2011-10-28 23:11:39,+0000,,"#Community and #ParksAndRec are still very funny, but #TheOffice really should have called it quits with ""Goodbye, Michael.""",en,"['community', 'parksandrec', 'theoffice']",[],50770749,50770749,James_Bussell,James Bussell,5,23,https://twitter.com/James_Bussell/status/130059178403311617,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep5
19,130059041643831296,130059041643831296,1319843466000.0,2011-10-28 23:11:06,+0000,,"Watching the ""Ben Franklin"" episode of #TheOffice...#hilarious",en,"['theoffice', 'hilarious']",[],277263961,277263961,JeffAlix,Jeff Alix,5,23,https://twitter.com/JeffAlix/status/130059041643831296,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep5
20,130058854229753858,130058854229753858,1319843421000.0,2011-10-28 23:10:21,+0000,,"Once every hour, someone is involved in an internet scam. That man is Michael Scott. He's supporting abt 20 Nigerian princesses. #theoffice",en,['theoffice'],[],87273053,87273053,mscatiecoleman,Catie Coleman,5,23,https://twitter.com/mscatiecoleman/status/130058854229753858,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep5
21,130058713544400896,130058713544400896,1319843388000.0,2011-10-28 23:09:48,+0000,,"""It's a root, idiot."". #TheOffice",en,['theoffice'],[],20903747,20903747,durachka,Erin Katz Buker,5,23,https://twitter.com/durachka/status/130058713544400896,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep5
22,130058419842453504,130058419842453504,1319843318000.0,2011-10-28 23:08:38,+0000,,"Pam: Dwight, are you eating a stick? Dwight: It's a root, idiot! #theoffice",en,['theoffice'],[],24161771,24161771,TLKHoy,Tiffany Hoy,5,23,https://twitter.com/TLKHoy/status/130058419842453504,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep5
